,endTime,artistName,trackName,msPlayed,minsPlayed
0,2021-08-21 08:44,Fort Minor,Remember the Name (feat. Styles of Beyond),230493,3.84155
1,2021-08-21 08:46,Nickelback,We Will Rock You - 2020 Remaster,2327,0.038783333333333336
2,2021-08-21 08:46,Macklemore & Ryan Lewis,Can't Hold Us - feat. Ray Dalton,138497,2.3082833333333332
3,2021-08-21 08:47,Papa Roach,Last Resort,17263,0.2877166666666667
4,2021-08-21 08:48,MARINA,Bubblegum Bitch,11242,0.18736666666666665
5,2021-08-21 08:48,NEFFEX,Backstage,2726,0.04543333333333333
6,2021-08-21 08:48,Bo Burnham,Bezos I,58149,0.96915
7,2021-08-21 08:52,Yu-Peng Chen,All-Conquering Tide,267278,4.454633333333334
8,2021-08-21 08:54,Song Jin Suk,Questo edificio è mio,118653,1.97755
9,2021-08-21 08:54,Zayde Wølf,Gladiator,744,0.0124
10,2021-08-21 08:54,SHINee,Don't Call Me,2333,0.03888333333333333
11,2021-08-21 08:56,Unlike Pluto,Everything Black,86501,1.4416833333333334
12,2021-08-21 08:58,Yu-Peng Chen,Rex Incognito,108827,1.8137833333333333
13,2021-08-21 09:02,KDrew,Circles - Original,3897,0.06495
14,2021-08-21 09:02,TAEMIN,Advice,2668,0.04446666666666667
15,2021-08-21 09:02,grandson,Blood // Water,262926,4.3821
16,2021-08-21 09:02,Zayde Wølf,Hustler,9506,0.15843333333333334
17,2021-08-21 09:02,Feint,We Won't Be Alone,1965,0.03275
18,2021-08-21 09:06,Macklemore,Glorious (feat. Skylar Grey),220454,3.6742333333333335
19,2021-08-21 09:26,Yoh kamiyama,YELLOW,89185,1.4864166666666667
20,2021-08-21 23:47,Monsta X,KISS OR DEATH,3190,0.05316666666666667
21,2021-08-22 00:00,Alice Merton,No Roots,159680,2.6613333333333333
22,2021-08-22 01:48,Alice Merton,No Roots,1690,0.028166666666666666
23,2021-08-22 01:48,Yu-Peng Chen,Innocent Age,1280,0.021333333333333333
24,2021-08-22 01:48,Yu-Peng Chen,All-Conquering Tide,13510,0.22516666666666665
25,2021-08-22 01:48,Robin Schulz,All We Got (feat. KIDDO) - Ofenbach Remix,3080,0.051333333333333335
26,2021-08-22 01:48,Major Lazer,Cold Water (feat. Justin Bieber & MØ),4340,0.07233333333333333
27,2021-08-22 01:49,Yu-Peng Chen,Mellow Memories,8750,0.14583333333333334
28,2021-08-22 01:49,Yu-Peng Chen,Never-Ending Performance,3660,0.061
29,2021-08-22 01:49,Yu-Peng Chen,Unexpected Savior,1140,0.019
30,2021-08-22 01:53,Yu-Peng Chen,All-Conquering Tide,267278,4.454633333333334
31,2021-08-22 01:56,Yu-Peng Chen,Never-Ending Performance,184976,3.0829333333333335
32,2021-08-22 01:59,Yu-Peng Chen,Wrath of Monoceros Caeli,164100,2.735
33,2021-08-22 02:02,Yu-Peng Chen,Dance with the Great Vortex,182542,3.0423666666666667
34,2021-08-22 02:02,Yu-Peng Chen,Ode to Azhdaha,20251,0.3375166666666667
35,2021-08-22 02:03,Yu-Peng Chen,Rage Beneath the Mountains,35310,0.5885
36,2021-08-22 02:03,Yu-Peng Chen,Tale of the Yakshas,1130,0.018833333333333334
37,2021-08-22 02:03,Yu-Peng Chen,Dream Aria - Genshin Impact Main Theme Var.,4820,0.08033333333333334
38,2021-08-22 02:03,Yu-Peng Chen,Twilight Serenity - Genshin Impact Main Theme Var.,3700,0.06166666666666667
39,2021-08-22 02:03,Yu-Peng Chen,The Wolf Boy,1510,0.025166666666666667
40,2021-08-22 02:03,Yu-Peng Chen,Reminiscence of the Old Days,14130,0.2355
41,2021-08-22 02:13,Yu-Peng Chen,Stealing Words of the Moon,10000,0.16666666666666666
42,2021-08-22 02:13,Yu-Peng Chen,Whirl of Boreal Wind,191500,3.191666666666667
43,2021-08-22 02:16,Yu-Peng Chen,Symphony of Boreal Wind,165130,2.7521666666666667
44,2021-08-22 02:21,Darren Korb,Out of Tartarus,324160,5.402666666666667
45,2021-08-22 02:23,Darren Korb,The Painful Way,137770,2.2961666666666667
46,2021-08-22 02:24,Darren Korb,No Escape,2820,0.047
47,2021-08-22 02:24,Darren Korb,The House of Hades,3500,0.058333333333333334
48,2021-08-22 02:24,Darren Korb,Death and I,6370,0.10616666666666667
49,2021-08-22 02:24,Darren Korb,Gates of Hell,7380,0.123
50,2021-08-22 02:24,Darren Korb,Gates of Hell,24500,0.4083333333333333
51,2021-08-22 02:24,Darren Korb,Primordial Chaos,11560,0.19266666666666668
52,2021-08-22 02:24,Darren Korb,God of the Dead,4730,0.07883333333333334
53,2021-08-22 02:25,Darren Korb,No Escape,4730,0.07883333333333334
54,2021-08-22 02:25,Darren Korb,Out of Tartarus,4190,0.06983333333333333
55,2021-08-22 02:25,Darren Korb,Out of Tartarus,7240,0.12066666666666667
56,2021-08-22 02:25,Darren Korb,The House of Hades,4350,0.0725
57,2021-08-22 02:25,Darren Korb,Death and I,9810,0.1635
58,2021-08-22 02:25,Darren Korb,Gates of Hell,10480,0.17466666666666666
59,2021-08-22 02:30,Darren Korb,From Olympus,9030,0.1505
60,2021-08-22 02:30,Darren Korb,The Painful Way,286960,4.782666666666667
61,2021-08-22 02:39,Darren Korb,Final Expense (Payback Mix),13093,0.21821666666666667
62,2021-08-22 02:39,Darren Korb,God of the Dead,541336,9.022266666666667
63,2021-08-22 02:44,Darren Korb,In the Blood,250237,4.170616666666667
64,2021-08-22 02:44,Darren Korb,The Unseen Ones,13162,0.21936666666666665
65,2021-08-22 02:44,EXO,약속 EXO 2014,2020,0.033666666666666664
66,2021-08-22 02:48,Macklemore,Thrift Shop (feat. Wanz),235613,3.9268833333333335
67,2021-08-22 02:51,One Direction,They Don't Know About Us,200,0.0033333333333333335
68,2021-08-22 02:51,Mike Posner,I Took A Pill In Ibiza - Seeb Remix,210,0.0035
69,2021-08-22 02:51,Fall Out Boy,Immortals,189386,3.156433333333333
70,2021-08-22 02:51,5 Seconds of Summer,Don't Stop,620,0.010333333333333333
71,2021-08-22 02:51,G.R.L.,Ugly Heart,790,0.013166666666666667
72,2021-08-22 02:51,Katy Perry,This Is How We Do,150,0.0025
73,2021-08-22 02:51,Meghan Trainor,Dear Future Husband,0,0.0
74,2021-08-22 02:51,Little Mix,Salute,880,0.014666666666666666
75,2021-08-22 02:51,Little Mix,DNA,0,0.0
76,2021-08-22 02:51,Maroon 5,Payphone,1650,0.0275
77,2021-08-22 02:51,SHINee,View,1070,0.017833333333333333
78,2021-08-22 02:51,Taylor Swift,The Lucky One,0,0.0
79,2021-08-22 02:51,Britney Spears,Work Bitch,1070,0.017833333333333333
80,2021-08-22 02:51,Anne-Marie,2002,0,0.0
81,2021-08-22 02:51,EXO-K,Overdose,140,0.0023333333333333335
82,2021-08-22 02:51,EXO,CALL ME BABY,30,0.0005
83,2021-08-22 02:51,Beyoncé,Countdown,4479,0.07465
84,2021-08-22 02:55,Little Mix,Move,224333,3.7388833333333333
85,2021-08-22 02:58,Daya,"Sit Still, Look Pretty",202221,3.37035
86,2021-08-22 03:02,American Authors,Best Day Of My Life,194240,3.2373333333333334
